card,entry,lemma,gender,rank
w-fragile,fragile,fragile,,1952
w-bus,le bus,bus,m,1953
w-marchand,le marchand,marchand,m,1954
w-serieusement,sérieusement,sérieusement,,1955
w-repasser,repasser,repasser,,1956
w-bref,bref,bref,,1957
w-enceinte,enceinte,enceinte,,1958
w-gant,le gant,gant,m,1959
w-auto,une auto,auto,f,1960
w-modele,le modèle,modèle,m,1961
w-test,le test,test,m,1962
w-talon,le talon,talon,m,1963
w-carton,le carton,carton,m,1964
w-huile,une huile,huile,f,1965
w-serviette,la serviette,serviette,f,1966
w-plafond,le plafond,plafond,m,1967
w-bibliotheque,la bibliothèque,bibliothèque,f,1968
w-exposer,exposer,exposer,,1969
w-desert-2,désert,désert,,1970
w-nerf,le nerf,nerf,m,1971
w-automne,un automne,automne,m,1972
w-digne,digne,digne,,1973
w-chiffre,le chiffre,chiffre,m,1974
w-efforcer,s'efforcer,efforcer,,1975
w-noble,noble,noble,,1976
w-mille,le mille,mille,m,1977
w-fidele,fidèle,fidèle,,1978
w-frais,les frais,frais,,1979
w-sejour,le séjour,séjour,m,1980
w-net,net,net,,1981
w-emploi,un emploi,emploi,m,1982
w-cage,la cage,cage,f,1983
w-accent,un accent,accent,m,1984
w-organisation,une organisation,organisation,f,1985
w-rumeur,la rumeur,rumeur,f,1986
w-disposition,la disposition,disposition,f,1987
w-divers,divers,divers,,1988
w-debarquer,débarquer,débarquer,,1989
w-volontiers,volontiers,volontiers,,1990
w-muet,muet,muet,,1991
w-douche,la douche,douche,f,1992
w-secher,sécher,sécher,,1993
w-fonction,la fonction,fonction,f,1994
w-foyer,un foyer,foyer,m,1995
w-esclave,un esclave,esclave,m,1996
w-religion,la religion,religion,f,1997
w-entretenir,entretenir,entretenir,,1998
w-poignee,une poignée,poignée,f,1999
w-dissimuler,dissimuler,dissimuler,,2000
w-ptembre,septembre,septembre,,2001
w-delicat,délicat,délicat,,2002
w-futur,futur,futur,,2003
w-juillet,juillet,juillet,,2004
w-guetter,guetter,guetter,,2005
w-metro,le métro,métro,m,2006
w-regagner,regagner,regagner,,2007
w-embarquer,embarquer,embarquer,,2009
w-familier,familier,familier,,2010
w-regime,le régime,régime,m,2011
w-informer,informer,informer,,2012
w-metal,le métal,métal,m,2013
w-barrer,barrer,barrer,,2014
w-estimer,estimer,estimer,,2015
w-pression,la pression,pression,f,2016
w-identite,une identité,identité,f,2017
w-oter,ôter,ôter,,2018
w-week-end,le week-end,week-end,m,2019
w-exercer,exercer,exercer,,2020
w-in,in,in,,2021
w-instrument,un instrument,instrument,m,2022
w-nuque,la nuque,nuque,f,2023
w-envoler,s'envoler,envoler,,2024
w-violer,violer,violer,,2025
w-poete,le poète,poète,m,2026
w-user,user,user,,2027
w-epuiser,épuiser,épuiser,,2028
w-concentrer,concentrer,concentrer,,2029
w-cabinet,le cabinet,cabinet,m,2030
w-craquer,craquer,craquer,,2031
w-reperer,repérer,repérer,,2032
w-prive,privé,privé,,2033
w-generation,la génération,génération,f,2034
w-mouiller,mouiller,mouiller,,2035
w-poeme,le poème,poème,m,2036
w-armer,armer,armer,,2037
w-bagnole,la bagnole,bagnole,f,2038
w-pompe,la pompe,pompe,f,2039
w-singe,le singe,singe,m,2040
w-echec,un échec,échec,m,2041
w-prof,le prof,prof,m,2042
w-prudent,prudent,prudent,,2043
w-epee,une épée,épée,f,2044
w-tabac,le tabac,tabac,m,2045
w-delicieux,délicieux,délicieux,,2046
w-moustache,la moustache,moustache,f,2047
w-dore,doré,doré,,2048
w-percer,percer,percer,,2049
w-ceinture,la ceinture,ceinture,f,2050
w-intervenir,intervenir,intervenir,,2051
w-semblant,le semblant,semblant,m,2052
w-empreinte,une empreinte,empreinte,f,2053
w-ordures,les ordures,ordures,,2054
w-extreme,extrême,extrême,,2055
w-preciser,préciser,préciser,,2056
w-demi-2,demi,demi,,2057
w-desespoir,le désespoir,désespoir,m,2058
