card,entry,lemma,gender,rank
w-communaute,la communauté,communauté,f,2986
w-grimace,la grimace,grimace,f,2987
w-degouter,dégoûter,dégoûter,,2988
w-medecine,la médecine,médecine,f,2989
w-duc,le duc,duc,m,2990
w-dialogue,le dialogue,dialogue,m,2991
w-honorer,honorer,honorer,,2992
w-temple,le temple,temple,m,2993
w-orange,une orange,orange,f,2994
w-allusion,une allusion,allusion,f,2995
w-recent,récent,récent,,2996
w-comble,le comble,comble,m,2997
w-temoignage,le témoignage,témoignage,m,2998
w-episode,un épisode,épisode,m,2999
w-preserver,préserver,préserver,,3000
w-vivement,vivement,vivement,,3001
w-analyse,une analyse,analyse,f,3002
w-vertige,le vertige,vertige,m,3003
w-drolement,drôlement,drôlement,,3004
w-ecouler,s'écouler,écouler,,3005
w-bible,la Bible,Bible,f,3006
w-divorcer,divorcer,divorcer,,3007
w-coutume,la coutume,coutume,f,3008
w-procureur,le procureur,procureur,m,3009
w-manoeuvre,une manœuvre,manœuvre,f,3010
w-passeport,le passeport,passeport,m,3011
w-pilule,la pilule,pilule,f,3012
w-actuel,actuel,actuel,,3013
w-oignon,un oignon,oignon,m,3014
w-calculer,calculer,calculer,,3015
w-vendeur,le vendeur,vendeur,m,3016
w-chantier,le chantier,chantier,m,3017
w-fumier,le fumier,fumier,m,3018
w-noeud,le nœud,nœud,m,3019
w-richesse,la richesse,richesse,f,3020
w-demi-tour,un demi-tour,demi-tour,m,3021
w-geant,géant,géant,,3022
w-passant,le passant,passant,m,3023
w-tablier,le tablier,tablier,m,3024
w-absorber,absorber,absorber,,3025
w-clarte,la clarté,clarté,f,3026
w-musical,musical,musical,,3027
w-sovietique,soviétique,soviétique,,3028
w-entamer,entamer,entamer,,3029
w-surpris,surpris,surpris,,3030
w-sagesse,la sagesse,sagesse,f,3031
w-instituteur,un instituteur,instituteur,m,3032
w-imbecile-2,imbécile,imbécile,,3033
w-fatal,fatal,fatal,,3034
w-debattre,débattre,débattre,,3035
w-philosophie,la philosophie,philosophie,f,3036
w-fonctionnaire,un fonctionnaire,fonctionnaire,m,3037
w-murmure,le murmure,murmure,m,3038
w-marquis,le marquis,marquis,m,3039
w-ancetre,un ancêtre,ancêtre,m,3040
w-ministere,le ministère,ministère,m,3041
w-arabe-2,arabe,arabe,,3042
w-matelas,le matelas,matelas,m,3043
w-intimite,une intimité,intimité,f,3044
w-de,le dé,dé,m,3045
w-paroi,la paroi,paroi,f,3046
w-banal,banal,banal,,3047
w-aerien,aérien,aérien,,3048
w-renfort,le renfort,renfort,m,3049
w-relacher,relâcher,relâcher,,3050
w-descente,la descente,descente,f,3051
w-buisson,le buisson,buisson,m,3052
w-ecoute,une écoute,écoute,f,3053
w-vapeur,la vapeur,vapeur,f,3054
w-commentaire,le commentaire,commentaire,m,3055
w-retablir,rétablir,rétablir,,3056
w-savon,le savon,savon,m,3057
w-combler,combler,combler,,3058
w-car,le car,car,m,3059
w-chevre,la chèvre,chèvre,f,3060
w-decidement,décidément,décidément,,3061
w-bourgeois,le bourgeois,bourgeois,m,3062
w-double,le double,double,m,3063
w-centimetre,le centimètre,centimètre,m,3064
w-tragique,tragique,tragique,,3065
w-empoisonner,empoisonner,empoisonner,,3066
w-indifferent,indifférent,indifférent,,3067
w-morale,la morale,morale,f,3068
w-index,un index,index,m,3069
w-tronche,la tronche,tronche,f,3070
w-conclusion,la conclusion,conclusion,f,3071
w-geant-2,un géant,géant,m,3072
w-enfantin,enfantin,enfantin,,3073
w-envers,un envers,envers,m,3074
w-aligner,aligner,aligner,,3075
w-pincer,pincer,pincer,,3076
w-critique,la critique,critique,f,3077
w-grogner,grogner,grogner,,3078
w-vedette,une vedette,vedette,f,3079
w-orchestre,un orchestre,orchestre,m,3080
w-perle,une perle,perle,f,3081
w-cheville,une cheville,cheville,f,3082
w-divorce,le divorce,divorce,m,3083
w-derober,dérober,dérober,,3084
w-immediat,immédiat,immédiat,,3085
w-bec,le bec,bec,m,3086
w-volume,le volume,volume,m,3087
w-pigeon,le pigeon,pigeon,m,3088
w-ultime,ultime,ultime,,3089
w-reception,la réception,réception,f,3090
w-abuser,abuser,abuser,,3091
w-orner,orner,orner,,3092
w-grossier,grossier,grossier,,3093
w-serviteur,le serviteur,serviteur,m,3094
w-grotte,la grotte,grotte,f,3095
w-sinistre,sinistre,sinistre,,3096
w-abriter,abriter,abriter,,3097
w-emballer,emballer,emballer,,3098
w-mercredi,le mercredi,mercredi,m,3099
w-connard-2,un connard,connard,m,3100
w-tomate,la tomate,tomate,f,3101
w-discipline,la discipline,discipline,f,3102
w-humour,un humour,humour,m,3103
w-permis,le permis,permis,m,3104
w-vanter,vanter,vanter,,3105
w-emerger,émerger,émerger,,3106
w-adorable,adorable,adorable,,3107
w-dater,dater,dater,,3108
w-banquette,la banquette,banquette,f,3109
w-chic,chic,chic,,3110
w-chretien,chrétien,chrétien,,3111
w-effrayant,effrayant,effrayant,,3112
w-symbole,un symbole,symbole,m,3113
w-tendance,la tendance,tendance,f,3114
w-charbon,le charbon,charbon,m,3115
w-sympathie,la sympathie,sympathie,f,3116
w-tunnel,le tunnel,tunnel,m,3117
w-arroser,arroser,arroser,,3118
w-applaudir,applaudir,applaudir,,3119
w-aveugle-2,un aveugle,aveugle,m,3120
w-esperance,une espérance,espérance,f,3121
w-grenier,le grenier,grenier,m,3122
w-boche,un boche,boche,m,3123
w-accelerer,accélérer,accélérer,,3124
w-attarder,s'attarder,attarder,,3125
w-independance,une indépendance,indépendance,f,3126
w-ennuyeux,ennuyeux,ennuyeux,,3127
w-crepuscule,le crépuscule,crépuscule,m,3128
w-choeur,le chœur,chœur,m,3129
w-coupe-2,coupé,coupé,,3130
w-signature,la signature,signature,f,3131
w-specialiste,un spécialiste,spécialiste,m,3132
w-mousse,la mousse,mousse,f,3133
w-ennemi,ennemi,ennemi,,3134
w-nu,le nu,nu,m,3135
w-manivelle,la manivelle,manivelle,f,3136
w-immobiliser,immobiliser,immobiliser,,3137
w-regulierement,régulièrement,régulièrement,,3138
w-ingenieur,un ingénieur,ingénieur,m,3139
w-rempli,rempli,rempli,,3140
w-douer,douer,douer,,3141
w-cent,le cent,cent,m,3142
w-photographe,un photographe,photographe,m,3143
w-salir,salir,salir,,3144
w-serment,le serment,serment,m,3145
w-fiston,le fiston,fiston,m,3146
w-ordonnance,une ordonnance,ordonnance,f,3147
w-parisien,parisien,parisien,,3148
w-reseau,le réseau,réseau,m,3149
w-personnellement,personnellement,personnellement,,3150
w-production,la production,production,f,3151
w-egarer,égarer,égarer,,3152
w-relier,relier,relier,,3153
w-cuisiner,cuisiner,cuisiner,,3154
w-palier,le palier,palier,m,3155
w-etonnement,un étonnement,étonnement,m,3156
w-tailleur,le tailleur,tailleur,m,3157
w-maree,la marée,marée,f,3158
w-sapin,le sapin,sapin,m,3159
w-trouille,la trouille,trouille,f,3160
w-hommage,un hommage,hommage,m,3161
w-couvert,le couvert,couvert,m,3162
w-cerf,le cerf,cerf,m,3163
w-bagarre,la bagarre,bagarre,f,3164
w-gentiment,gentiment,gentiment,,3165
w-barrage,le barrage,barrage,m,3166
w-seau,un seau,seau,m,3167
w-version,la version,version,f,3168
w-delire,le délire,délire,m,3169
w-lache-2,un lâche,lâche,m,3170
w-sauce,la sauce,sauce,f,3171
w-coupable-2,le coupable,coupable,m,3172
w-entasser,entasser,entasser,,3173
w-glacer,glacer,glacer,,3174
w-injuste,injuste,injuste,,3175
w-amical,amical,amical,,3176
w-sanglot,le sanglot,sanglot,m,3177
w-miel,le miel,miel,m,3178
w-chaud-2,le chaud,chaud,m,3179
w-essentiel-2,essentiel,essentiel,,3180
w-definitivement,définitivement,définitivement,,3181
w-bourse,la bourse,bourse,f,3182
w-deplaire,déplaire,déplaire,,3183
w-fabuleux,fabuleux,fabuleux,,3184
w-tempe,la tempe,tempe,f,3185
w-ardeur,une ardeur,ardeur,f,3186
w-normalement,normalement,normalement,,3187
w-ane,un âne,âne,m,3188
w-romantique,romantique,romantique,,3189
w-rgement,largement,largement,,3190
w-dimension,la dimension,dimension,f,3191
w-aveu,un aveu,aveu,m,3192
w-carre-2,carré,carré,,3193
w-innombrable,innombrable,innombrable,,3194
w-abandonne,abandonné,abandonné,,3195
w-passager,le passager,passager,m,3196
w-ricaner,ricaner,ricaner,,3197
w-encombrer,encombrer,encombrer,,3198
w-cancer,le cancer,cancer,m,3199
w-patient-2,patient,patient,,3200
w-romain,romain,romain,,3201
w-pris,pris,pris,,3202
w-conquerir,conquérir,conquérir,,3203
w-remarque,la remarque,remarque,f,3204
w-bite,la bite,bite,f,3205
w-ruiner,ruiner,ruiner,,3206
w-expedier,expédier,expédier,,3207
w-crisper,crisper,crisper,,3208
w-tousser,tousser,tousser,,3209
w-medaille,la médaille,médaille,f,3210
w-beau,beau,beau,,3211
w-blouson,le blouson,blouson,m,3212
w-papillon,le papillon,papillon,m,3213
w-abruti,un abruti,abruti,m,3214
w-saurer,saurer,saurer,,3215
w-reproduire,reproduire,reproduire,,3216
w-militaire,un militaire,militaire,m,3217
w-abandon,un abandon,abandon,m,3218
w-mater,mater,mater,,3219
w-compliment,un compliment,compliment,m,3220
w-fontaine,la fontaine,fontaine,f,3221
w-otage,un otage,otage,m,3222
w-lecteur,le lecteur,lecteur,m,3223
w-relire,relire,relire,,3224
w-vocation,une vocation,vocation,f,3225
w-ruisseau,le ruisseau,ruisseau,m,3226
w-occupe,occupé,occupé,,3227
w-adolescent,un adolescent,adolescent,m,3228
w-barriere,une barrière,barrière,f,3229
w-fac,la fac,fac,f,3230
w-combinaison,une combinaison,combinaison,f,3231
w-poison,le poison,poison,m,3232
w-entrevoir,entrevoir,entrevoir,,3233
w-refugier,se réfugier,réfugier,,3234
w-milliard,le milliard,milliard,m,3235
w-deguiser,déguiser,déguiser,,3236
w-honteux,honteux,honteux,,3237
w-saut,le saut,saut,m,3238
w-boisson,une boisson,boisson,f,3239
w-banlieue,la banlieue,banlieue,f,3240
w-sympathique,sympathique,sympathique,,3241
w-aine,un aîné,aîné,m,3242
w-civilisation,une civilisation,civilisation,f,3243
w-sser,lasser,lasser,,3244
w-precedent,précédent,précédent,,3245
w-auberge,une auberge,auberge,f,3246
w-revolte,la révolte,révolte,f,3247
w-fonds,le fonds,fonds,m,3248
w-pratiquement,pratiquement,pratiquement,,3249
w-malaise,le malaise,malaise,m,3250
w-capacite,la capacité,capacité,f,3251
w-detour,le détour,détour,m,3252
w-pin,le pin,pin,m,3253
w-ruban,le ruban,ruban,m,3254
w-extremement,extrêmement,extrêmement,,3255
w-irriter,irriter,irriter,,3256
w-monseigneur,Monseigneur,Monseigneur,,3257
w-coq,le coq,coq,m,3258
w-portail,le portail,portail,m,3259
w-theme,le thème,thème,m,3260
w-pavillon,le pavillon,pavillon,m,3261
w-mont,le mont,mont,m,3262
w-massacrer,massacrer,massacrer,,3263
w-indice,un indice,indice,m,3264
w-jumeau,le jumeau,jumeau,m,3265
w-machoire,la mâchoire,mâchoire,f,3266
w-douzaine,une douzaine,douzaine,f,3267
w-sonore,sonore,sonore,,3268
w-rien,un rien,rien,m,3269
w-souple,souple,souple,,3270
w-gronder,gronder,gronder,,3271
w-jet,le jet,jet,m,3272
w-boeuf,le bœuf,bœuf,m,3273
w-contraindre,contraindre,contraindre,,3274
w-job,le job,job,m,3275
w-surveillance,la surveillance,surveillance,f,3276
w-office,un office,office,m,3278
w-labo,le labo,labo,m,3279
w-moitie,la moitié,moitié,f,3280
w-venue,la venue,venue,f,3281
w-objectif,un objectif,objectif,m,3282
w-etoffe,une étoffe,étoffe,f,3283
w-calcul,le calcul,calcul,m,3284
w-facture,la facture,facture,f,3285
w-ressource,la ressource,ressource,f,3286
w-election,une élection,élection,f,3287
w-deuxieme,le deuxième,deuxième,m,3288
w-inattendu,inattendu,inattendu,,3289
w-braquer,braquer,braquer,,3290
w-dose,la dose,dose,f,3291
w-valet,le valet,valet,m,3292
w-malheureux,un malheureux,malheureux,m,3293
w-autorisation,une autorisation,autorisation,f,3294
w-aboutir,aboutir,aboutir,,3295
w-fosse,le fossé,fossé,m,3296
w-precision,la précision,précision,f,3297
w-nid,le nid,nid,m,3298
w-enfouir,enfouir,enfouir,,3299
w-revivre,revivre,revivre,,3300
w-creux-2,creux,creux,,3301
w-haleine,une haleine,haleine,f,3302
w-marchandise,la marchandise,marchandise,f,3303
w-intense,intense,intense,,3304
w-arrestation,une arrestation,arrestation,f,3305
w-ameliorer,améliorer,améliorer,,3306
w-indispensable,indispensable,indispensable,,3307
w-autobus,un autobus,autobus,m,3308
w-ramper,ramper,ramper,,3309
w-visiblement,visiblement,visiblement,,3310
w-gene,la gêne,gêne,f,3311
w-ordinaire-2,un ordinaire,ordinaire,m,3312
w-humble,humble,humble,,3313
w-bistrot,le bistrot,bistrot,m,3314
w-malin-2,le malin,malin,m,3315
w-gerer,gérer,gérer,,3316
w-tonnerre,le tonnerre,tonnerre,m,3317
w-vice,le vice,vice,m,3318
w-violet,violet,violet,,3319
w-rediger,rédiger,rédiger,,3320
w-innocence,une innocence,innocence,f,3322
w-clinique,la clinique,clinique,f,3323
w-neant,le néant,néant,m,3324
w-maximum,le maximum,maximum,m,3325
w-beau-pere,le beau-père,beau-père,m,3326
w-engagement,un engagement,engagement,m,3327
w-elephant,un éléphant,éléphant,m,3328
w-fevrier,février,février,,3329
w-vampire,le vampire,vampire,m,3330
w-maitriser,maîtriser,maîtriser,,3331
w-stylo,le stylo,stylo,m,3332
w-garce,la garce,garce,f,3333
w-tonne,la tonne,tonne,f,3334
w-pneu,le pneu,pneu,m,3335
w-salete,la saleté,saleté,f,3336
w-limiter,limiter,limiter,,3337
w-crete,la crête,crête,f,3338
w-hisser,hisser,hisser,,3339
w-jaune,le jaune,jaune,m,3340
w-subtil,subtil,subtil,,3341
w-lot,le lot,lot,m,3342
w-bond,le bond,bond,m,3343
w-plastique,le plastique,plastique,m,3344
w-virus,le virus,virus,m,3345
w-cervelle,la cervelle,cervelle,f,3346
w-cafe,café,café,,3347
w-ronde,la ronde,ronde,f,3348
w-ardent,ardent,ardent,,3349
w-assommer,assommer,assommer,,3350
w-frisson,le frisson,frisson,m,3351
w-desagreable,désagréable,désagréable,,3352
w-legitime,légitime,légitime,,3353
w-courant,courant,courant,,3354
w-humilier,humilier,humilier,,3355
w-accueil,un accueil,accueil,m,3356
w-brouiller,brouiller,brouiller,,3357
w-ironie,une ironie,ironie,f,3358
w-touche,la touche,touche,f,3359
w-racheter,racheter,racheter,,3360
w-assistance,une assistance,assistance,f,3361
w-bassin,le bassin,bassin,m,3362
w-convoquer,convoquer,convoquer,,3363
w-defaite,la défaite,défaite,f,3364
w-massacre,le massacre,massacre,m,3365
w-reussite,la réussite,réussite,f,3366
w-pub,la pub,pub,f,3367
w-gaiete,la gaieté,gaieté,f,3368
w-mondial,mondial,mondial,,3369
w-spectateur,le spectateur,spectateur,m,3370
w-complicite,la complicité,complicité,f,3371
w-menu,menu,menu,,3372
w-tragedie,la tragédie,tragédie,f,3373
w-bander,bander,bander,,3374
w-extremite,une extrémité,extrémité,f,3375
w-demolir,démolir,démolir,,3376
w-chevelure,la chevelure,chevelure,f,3377
w-nappe,la nappe,nappe,f,3378
w-meurtrier,le meurtrier,meurtrier,m,3379
w-torture,la torture,torture,f,3380
w-renifler,renifler,renifler,,3381
w-stade,le stade,stade,m,3382
w-ruse,la ruse,ruse,f,3383
w-exces,un excès,excès,m,3384
w-delai,le délai,délai,m,3385
w-pareil,un pareil,pareil,m,3386
w-rupture,la rupture,rupture,f,3387
w-pratique,pratique,pratique,,3388
w-creation,la création,création,f,3389
w-froler,frôler,frôler,,3390
w-effectivement,effectivement,effectivement,,3391
w-for-interieur,le for intérieur,for intérieur,m,3392
w-etablissement,un établissement,établissement,m,3393
w-bourgeois-2,bourgeois,bourgeois,,3394
w-efficace,efficace,efficace,,3395
w-monstrueux,monstrueux,monstrueux,,3396
w-tribu,la tribu,tribu,f,3397
w-ve,levé,levé,,3398
w-redoutable,redoutable,redoutable,,3399
w-batterie,la batterie,batterie,f,3400
w-reconnaissant,reconnaissant,reconnaissant,,3401
w-sursauter,sursauter,sursauter,,3402
w-suspect-2,suspect,suspect,,3403
w-autoroute,une autoroute,autoroute,f,3404
w-modifier,modifier,modifier,,3405
w-conscient,conscient,conscient,,3406
w-pan,un pan,pan,m,3407
w-foot,le foot,foot,m,3408
w-hostile,hostile,hostile,,3409
w-cherir,chérir,chérir,,3410
w-hater,hâter,hâter,,3411
w-album,un album,album,m,3412
w-destruction,la destruction,destruction,f,3413
w-desesperer,désespérer,désespérer,,3414
w-affiche,une affiche,affiche,f,3415
w-negocier,négocier,négocier,,3416
w-mur,mûr,mûr,,3417
w-pave,le pavé,pavé,m,3418
w-coudre,coudre,coudre,,3419
w-onde,une onde,onde,f,3420
w-sabot,le sabot,sabot,m,3421
w-defi,le défi,défi,m,3422
w-remede,le remède,remède,m,3423
w-historique,historique,historique,,3424
w-naif,naïf,naïf,,3425
w-tambour,le tambour,tambour,m,3426
w-mairie,la mairie,mairie,f,3427
w-mental,mental,mental,,3428
w-mou,mou,mou,,3429
w-penombre,la pénombre,pénombre,f,3430
w-massif,massif,massif,,3431
w-attribuer,attribuer,attribuer,,3432
w-haie,la haie,haie,f,3433
w-disperser,disperser,disperser,,3434
w-sieur,le sieur,sieur,m,3435
w-avant-2,un avant,avant,m,3436
w-impatient,impatient,impatient,,3437
w-recompense,la récompense,récompense,f,3438
w-divan,le divan,divan,m,3439
w-musicien,le musicien,musicien,m,3440
w-organe,un organe,organe,m,3441
w-pecher,pêcher,pêcher,,3442
w-ravissant,ravissant,ravissant,,3443
w-ressusciter,ressusciter,ressusciter,,3444
w-enchainer,enchaîner,enchaîner,,3445
w-intervention,une intervention,intervention,f,3446
w-serrure,la serrure,serrure,f,3447
w-luisant,luisant,luisant,,3448
w-selle,la selle,selle,f,3449
w-voute,la voûte,voûte,f,3450
w-quantite,la quantité,quantité,f,3451
w-negliger,négliger,négliger,,3452
w-possible,le possible,possible,m,3453
w-vibrer,vibrer,vibrer,,3454
w-marge,la marge,marge,f,3455
w-petrole,le pétrole,pétrole,m,3456
w-bouffee,une bouffée,bouffée,f,3457
w-narine,la narine,narine,f,3458
w-caporal,le caporal,caporal,m,3459
w-roche,la roche,roche,f,3460
w-probable,probable,probable,,3461
w-complice,un complice,complice,m,3462
w-confusion,la confusion,confusion,f,3463
w-teint,le teint,teint,m,3464
w-pasteur,le pasteur,pasteur,m,3465
w-brigade,la brigade,brigade,f,3466
w-economique,économique,économique,,3467
w-outre,une outre,outre,f,3468
w-provenir,provenir,provenir,,3469
w-accumuler,accumuler,accumuler,,3470
w-multiplier,multiplier,multiplier,,3471
w-confortable,confortable,confortable,,3472
w-choquer,choquer,choquer,,3473
w-dispute,la dispute,dispute,f,3474
w-borne,la borne,borne,f,3475
w-fourrure,la fourrure,fourrure,f,3476
w-maternel,maternel,maternel,,3477
w-machin,un machin,machin,m,3479
w-effleurer,effleurer,effleurer,,3480
w-maillot,le maillot,maillot,m,3481
w-pieger,piéger,piéger,,3482
w-dentelle,la dentelle,dentelle,f,3483
w-sirene,la sirène,sirène,f,3484
w-beau-frere,le beau-frère,beau-frère,m,3485
w-democratie,la démocratie,démocratie,f,3486
w-cachette,la cachette,cachette,f,3487
w-menager,ménager,ménager,,3488
w-tranche,la tranche,tranche,f,3489
w-revetir,revêtir,revêtir,,3490
w-cerner,cerner,cerner,,3491
w-camionnette,une camionnette,camionnette,f,3492
w-decorer,décorer,décorer,,3493
w-cristal,le cristal,cristal,m,3494
w-laboratoire,le laboratoire,laboratoire,m,3495
w-electricite,une électricité,électricité,f,3496
w-chretien-2,un chrétien,chrétien,m,3497
w-graver,graver,graver,,3498
w-litre,le litre,litre,m,3499
w-chene,le chêne,chêne,m,3500
w-timbre,le timbre,timbre,m,3501
w-guitare,la guitare,guitare,f,3502
w-tremblement,le tremblement,tremblement,m,3503
w-balai,le balai,balai,m,3504
w-domestique,un domestique,domestique,m,3505
w-revers,le revers,revers,m,3506
w-reparler,reparler,reparler,,3507
w-accusation,une accusation,accusation,f,3508
w-fidelite,la fidélité,fidélité,f,3509
w-gris,le gris,gris,m,3510
w-bandit,un bandit,bandit,m,3511
w-detective,un détective,détective,m,3512
w-chariot,le chariot,chariot,m,3513
w-supprimer,supprimer,supprimer,,3514
w-agenouiller,s'agenouiller,agenouiller,,3515
w-dessous-2,dessous,dessous,,3516
w-entrainement,un entraînement,entraînement,m,3517
w-volontaire,volontaire,volontaire,,3518
w-ride,une ride,ride,f,3519
w-etendue,une étendue,étendue,f,3521
w-scenario,le scénario,scénario,m,3522
w-soutien,le soutien,soutien,m,3523
w-brancher,brancher,brancher,,3524
w-conte,le conte,conte,m,3525
w-atroce,atroce,atroce,,3526
w-traquer,traquer,traquer,,3527
w-allie-2,allié,allié,,3528
w-cingler,cingler,cingler,,3529
w-corriger,corriger,corriger,,3530
w-xy,sexy,sexy,,3531
w-buffet,le buffet,buffet,m,3532
w-charite,la charité,charité,f,3533
w-faucher,faucher,faucher,,3534
w-marteau,le marteau,marteau,m,3535
w-gamin,gamin,gamin,,3536
w-civil-2,un civil,civil,m,3537
w-retentir,retentir,retentir,,3538
w-renforcer,renforcer,renforcer,,3539
w-convoi,le convoi,convoi,m,3540
w-tentation,la tentation,tentation,f,3541
w-fremir,frémir,frémir,,3542
w-privilege,un privilège,privilège,m,3543
w-parking,le parking,parking,m,3544
w-actuellement,actuellement,actuellement,,3545
w-hesitation,une hésitation,hésitation,f,3546
w-repetition,la répétition,répétition,f,3547
w-brosse,la brosse,brosse,f,3548
w-publicite,la publicité,publicité,f,3549
w-revelation,la révélation,révélation,f,3550
w-technique,technique,technique,,3551
w-charrette,la charrette,charrette,f,3552
w-conflit,le conflit,conflit,m,3553
w-bienvenue,la bienvenue,bienvenue,f,3554
w-departement,le département,département,m,3555
w-donne,la donne,donne,f,3556
w-associer,associer,associer,,3557
w-empoigner,empoigner,empoigner,,3558
w-confidence,une confidence,confidence,f,3559
w-donnees,les données,données,,3560
w-frangin,le frangin,frangin,m,3561
w-amateur,un amateur,amateur,m,3562
w-colonie,la colonie,colonie,f,3563
w-refleter,refléter,refléter,,3564
w-casserole,la casserole,casserole,f,3565
w-foire,la foire,foire,f,3566
w-argument,un argument,argument,m,3567
w-surprenant,surprenant,surprenant,,3568
w-commissariat,le commissariat,commissariat,m,3569
w-detresse,la détresse,détresse,f,3570
w-infiniment,infiniment,infiniment,,3571
w-habille,habillé,habillé,,3572
w-elegance,une élégance,élégance,f,3573
w-male,le mâle,mâle,m,3574
w-etat-major,un état-major,état-major,m,3575
w-baignoire,la baignoire,baignoire,f,3576
w-representation,la représentation,représentation,f,3577
w-assumer,assumer,assumer,,3578
w-afficher,afficher,afficher,,3579
w-marine,marine,marine,,3580
w-chiottes,les chiottes,chiottes,,3581
w-lance,la lance,lance,f,3582
w-au-dessous,au-dessous,au-dessous,,3583
w-vachement,vachement,vachement,,3584
w-exclure,exclure,exclure,,3585
w-ficelle,la ficelle,ficelle,f,3586
w-flaque,une flaque,flaque,f,3587
w-criminel-2,criminel,criminel,,3588
w-epaisseur,une épaisseur,épaisseur,f,3589
w-brandir,brandir,brandir,,3590
w-ressort,le ressort,ressort,m,3591
w-merite,le mérite,mérite,m,3592
w-souriant,souriant,souriant,,3593
w-correct,correct,correct,,3594
w-evacuer,évacuer,évacuer,,3595
w-foudre,la foudre,foudre,f,3596
w-graisse,la graisse,graisse,f,3597
w-pietiner,piétiner,piétiner,,3598
w-moins,le moins,moins,m,3599
w-vexer,vexer,vexer,,3600
w-souligner,souligner,souligner,,3601
w-fermeture,la fermeture,fermeture,f,3602
w-vigne,la vigne,vigne,f,3603
w-engin,un engin,engin,m,3604
w-frigo,le frigo,frigo,m,3605
w-caprice,le caprice,caprice,m,3606
w-corne,la corne,corne,f,3607
w-susciter,susciter,susciter,,3608
w-draguer,draguer,draguer,,3609
w-barreau,le barreau,barreau,m,3610
w-feindre,feindre,feindre,,3611
w-minable,minable,minable,,3612
w-alarme,une alarme,alarme,f,3613
w-metallique,métallique,métallique,,3614
w-vulgaire,vulgaire,vulgaire,,3615
w-coussin,le coussin,coussin,m,3616
w-obligation,une obligation,obligation,f,3617
w-flanquer,flanquer,flanquer,,3618
w-domicile,le domicile,domicile,m,3619
w-refuge,le refuge,refuge,m,3620
w-reflechi,réfléchi,réfléchi,,3621
w-horloge,une horloge,horloge,f,3622
w-violon,le violon,violon,m,3623
w-maquiller,maquiller,maquiller,,3624
w-bonnet,le bonnet,bonnet,m,3625
w-accroupir,s'accroupir,accroupir,,3626
w-tire,une tire,tire,f,3627
w-clouer,clouer,clouer,,3628
w-compromettre,compromettre,compromettre,,3629
w-engueuler,engueuler,engueuler,,3630
w-clair,le clair,clair,m,3631
w-buste,le buste,buste,m,3632
w-gonzesse,une gonzesse,gonzesse,f,3633
w-griller,griller,griller,,3634
w-baie,la baie,baie,f,3635
w-engloutir,engloutir,engloutir,,3636
w-splendide,splendide,splendide,,3637
w-fouet,le fouet,fouet,m,3638
w-guise,la guise,guise,f,3639
w-parquet,le parquet,parquet,m,3640
w-triompher,triompher,triompher,,3641
w-accabler,accabler,accabler,,3642
w-diviser,diviser,diviser,,3643
w-ebranler,ébranler,ébranler,,3644
w-tireur,le tireur,tireur,m,3645
w-moulin,le moulin,moulin,m,3646
w-devisager,dévisager,dévisager,,3647
w-ampoule,une ampoule,ampoule,f,3648
w-tourmenter,tourmenter,tourmenter,,3649
w-encadrer,encadrer,encadrer,,3650
w-guerrier,le guerrier,guerrier,m,3651
w-desespere,désespéré,désespéré,,3652
w-proche,le proche,proche,m,3653
w-achat,un achat,achat,m,3654
w-sanglant,sanglant,sanglant,,3655
w-cirer,cirer,cirer,,3656
w-sincerement,sincèrement,sincèrement,,3657
w-emettre,émettre,émettre,,3658
w-etonne,étonné,étonné,,3659
w-fee,la fée,fée,f,3660
w-cachet,le cachet,cachet,m,3661
w-brule,brûlé,brûlé,,3662
w-institution,une institution,institution,f,3663
w-associe,un associé,associé,m,3664
w-parti,parti,parti,,3665
w-sauvage-2,un sauvage,sauvage,m,3666
w-spirituel,spirituel,spirituel,,3667
w-temperature,la température,température,f,3668
w-traite,le traité,traité,m,3669
w-abime,un abîme,abîme,m,3670
w-salopard,le salopard,salopard,m,3671
w-inquietant,inquiétant,inquiétant,,3672
w-facteur,le facteur,facteur,m,3673
w-hanter,hanter,hanter,,3674
w-rampe,la rampe,rampe,f,3675
w-aller,un aller,aller,m,3676
w-formation,la formation,formation,f,3677
w-japonais,japonais,japonais,,3678
w-alerte,une alerte,alerte,f,3679
w-carrement,carrément,carrément,,3680
w-falaise,la falaise,falaise,f,3681
w-brise,brisé,brisé,,3682
w-debat,le débat,débat,m,3683
w-court,court,court,,3684
w-crochet,le crochet,crochet,m,3685
w-poursuite,la poursuite,poursuite,f,3686
w-tolerer,tolérer,tolérer,,3687
w-inscription,une inscription,inscription,f,3688
w-pape,le pape,pape,m,3689
w-determiner,déterminer,déterminer,,3690
w-affoler,affoler,affoler,,3691
w-remarquable,remarquable,remarquable,,3692
w-anonyme,anonyme,anonyme,,3693
w-tonton,le tonton,tonton,m,3694
w-illuminer,illuminer,illuminer,,3695
w-logique,logique,logique,,3696
w-retarder,retarder,retarder,,3697
w-terriblement,terriblement,terriblement,,3698
w-insulte,une insulte,insulte,f,3699
w-exposition,une exposition,exposition,f,3700
w-trone,le trône,trône,m,3701
w-pizza,la pizza,pizza,f,3702
w-gigantesque,gigantesque,gigantesque,,3703
w-coiffure,la coiffure,coiffure,f,3704
w-contourner,contourner,contourner,,3705
w-baptiser,baptiser,baptiser,,3706
w-confesser,confesser,confesser,,3707
